symptoms,prescription
"abdominal pain, loss of taste, fatigue, loss of appetite","levocetirizine 5mg od, amoxicillin 500mg tid, metronidazole 400mg tid, x-ray chest"
"runny nose, itching, loss of smell, loss of appetite","amoxicillin 500mg tid, doxycycline 100mg bid, cbc blood test, spirometry"
"productive cough, muscle pain, palpitations","ibuprofen 400mg bid, hydrocortisone cream bid, multivitamin daily, cbc blood test"
"difficulty breathing, loss of appetite, productive cough, eye redness","levocetirizine 5mg od, paracetamol 500mg tid, cbc blood test, serum electrolytes"
"palpitations, night sweats, swelling","ibuprofen 400mg bid, pantoprazole 40mg od, azithromycin 500mg od, urine analysis"
"fever, night sweats","amoxicillin 500mg tid, iron supplements od, spirometry, blood sugar test"
"loss of appetite, skin rash, night sweats, frequent urination","doxycycline 100mg bid, ibuprofen 400mg bid, spirometry, urine analysis"
"productive cough, cough","salbutamol inhaler prn, paracetamol 500mg tid, x-ray chest, serum electrolytes"
"sneezing, itching","multivitamin daily, metronidazole 400mg tid, atorvastatin 10mg od, throat swab culture, serum electrolytes"
"fever, night sweats, runny nose","multivitamin daily, paracetamol 500mg tid, iron supplements od, serum electrolytes, kidney function test"
"swelling, fatigue, palpitations, shortness of breath","ibuprofen 400mg bid, loratadine 10mg od, ecg test, stool test"
"body ache, eye redness","cetirizine 10mg od, iron supplements od, malaria parasite test, blood sugar test"
"productive cough, diarrhea, shortness of breath","ondansetron 4mg tid, atorvastatin 10mg od, throat swab culture"
"itching, palpitations","paracetamol 500mg tid, amoxicillin 500mg tid, pantoprazole 40mg od, blood sugar test, x-ray chest"
"chest pain, loss of smell, burning urination","cetirizine 10mg od, oral rehydration salts, throat swab culture, blood sugar test"
"vomiting, skin rash, back pain","azithromycin 500mg od, ibuprofen 400mg bid, urine analysis"
"swelling, vomiting, productive cough, joint pain","doxycycline 100mg bid, iron supplements od, stool test"
"eye redness, fever, sneezing","cetirizine 10mg od, salbutamol inhaler prn, stool test"
"itching, eye redness, sore throat, burning urination","ibuprofen 400mg bid, multivitamin daily, amoxicillin 500mg tid, serum electrolytes, throat swab culture"
"weight loss, skin rash, cough, fatigue","azithromycin 500mg od, hydrocortisone cream bid, urine analysis"
"loss of appetite, productive cough, sneezing, fatigue","multivitamin daily, diclofenac 50mg bid, amoxicillin 500mg tid, dengue test, blood sugar test"
"productive cough, sore throat","iron supplements od, doxycycline 100mg bid, hydrocortisone cream bid, stool test, ecg test"
"loss of taste, abdominal pain","cetirizine 10mg od, loratadine 10mg od, multivitamin daily, spirometry, dengue test"
"runny nose, joint pain, itching","multivitamin daily, doxycycline 100mg bid, liver function test"
"burning urination, swelling, muscle pain, abdominal pain","ondansetron 4mg tid, loratadine 10mg od, stool test"
"ear pain, weight loss, productive cough, frequent urination","loratadine 10mg od, pantoprazole 40mg od, ibuprofen 400mg bid, cbc blood test"
"frequent urination, ear pain, sore throat","metronidazole 400mg tid, doxycycline 100mg bid, diclofenac 50mg bid, liver function test"
"shortness of breath, weight loss, abdominal pain","iron supplements od, doxycycline 100mg bid, atorvastatin 10mg od, ecg test, serum electrolytes"
"headache, joint pain","diclofenac 50mg bid, amoxicillin 500mg tid, cbc blood test"
"weight loss, body ache","hydrocortisone cream bid, metronidazole 400mg tid, levocetirizine 5mg od, spirometry, cbc blood test"
"cough, difficulty breathing, body ache","amoxicillin 500mg tid, iron supplements od, multivitamin daily, liver function test, blood sugar test"
"headache, palpitations, burning urination","amoxicillin 500mg tid, ibuprofen 400mg bid, atorvastatin 10mg od, cbc blood test, spirometry"
"shortness of breath, weight loss, productive cough","salbutamol inhaler prn, doxycycline 100mg bid, iron supplements od, malaria parasite test"
"weight loss, body ache, difficulty breathing","metronidazole 400mg tid, ibuprofen 400mg bid, loratadine 10mg od, dengue test"
"palpitations, diarrhea, fatigue","atorvastatin 10mg od, multivitamin daily, metronidazole 400mg tid, urine analysis"
"chest pain, loss of taste, headache","amoxicillin 500mg tid, multivitamin daily, cbc blood test"
"palpitations, vomiting, diarrhea, loss of taste","iron supplements od, hydrocortisone cream bid, liver function test, dengue test"
"swelling, weight loss, chest pain, fever","amoxicillin 500mg tid, salbutamol inhaler prn, multivitamin daily, throat swab culture, x-ray chest"
"diarrhea, back pain","doxycycline 100mg bid, salbutamol inhaler prn, atorvastatin 10mg od, ecg test"
"weight loss, loss of appetite","paracetamol 500mg tid, azithromycin 500mg od, cetirizine 10mg od, kidney function test"
"diarrhea, loss of smell","cetirizine 10mg od, iron supplements od, blood sugar test"
"itching, palpitations, loss of smell, vomiting","salbutamol inhaler prn, metronidazole 400mg tid, hydrocortisone cream bid, urine analysis, kidney function test"
"eye redness, frequent urination, difficulty breathing, chest pain","azithromycin 500mg od, multivitamin daily, levocetirizine 5mg od, stool test"
"weight loss, eye redness","salbutamol inhaler prn, oral rehydration salts, levocetirizine 5mg od, blood sugar test, urine analysis"
"headache, shortness of breath","pantoprazole 40mg od, salbutamol inhaler prn, loratadine 10mg od, blood sugar test, spirometry"
"skin rash, shortness of breath","diclofenac 50mg bid, ondansetron 4mg tid, iron supplements od, serum electrolytes"
"productive cough, abdominal pain, shortness of breath","loratadine 10mg od, atorvastatin 10mg od, blood sugar test, liver function test"
"loss of appetite, sneezing","oral rehydration salts, iron supplements od, pantoprazole 40mg od, dengue test, malaria parasite test"
"back pain, ear pain","pantoprazole 40mg od, hydrocortisone cream bid, throat swab culture"
"palpitations, itching","loratadine 10mg od, paracetamol 500mg tid, ibuprofen 400mg bid, x-ray chest"
"productive cough, back pain, shortness of breath","oral rehydration salts, multivitamin daily, blood sugar test, spirometry"
"weight loss, sneezing, muscle pain, fatigue","ondansetron 4mg tid, azithromycin 500mg od, doxycycline 100mg bid, cbc blood test, blood sugar test"
"eye redness, joint pain, loss of smell","doxycycline 100mg bid, oral rehydration salts, iron supplements od, blood sugar test, dengue test"
"productive cough, itching","multivitamin daily, ondansetron 4mg tid, spirometry"
"eye redness, night sweats, body ache","azithromycin 500mg od, atorvastatin 10mg od, malaria parasite test"
"loss of smell, eye redness, fatigue, night sweats","metronidazole 400mg tid, amoxicillin 500mg tid, cetirizine 10mg od, stool test, dengue test"
"joint pain, itching, diarrhea","diclofenac 50mg bid, doxycycline 100mg bid, throat swab culture"
"sore throat, vomiting, skin rash","pantoprazole 40mg od, oral rehydration salts, iron supplements od, ecg test"
"cough, productive cough, headache, sore throat","ondansetron 4mg tid, pantoprazole 40mg od, paracetamol 500mg tid, malaria parasite test, cbc blood test"
"difficulty breathing, sore throat, eye redness, joint pain","pantoprazole 40mg od, paracetamol 500mg tid, hydrocortisone cream bid, spirometry"
"dizziness, eye redness, weight loss, shortness of breath","salbutamol inhaler prn, pantoprazole 40mg od, spirometry, serum electrolytes"
"loss of smell, muscle pain, chest pain, abdominal pain","ondansetron 4mg tid, diclofenac 50mg bid, liver function test"
"burning urination, fatigue","hydrocortisone cream bid, oral rehydration salts, ondansetron 4mg tid, malaria parasite test"
"dizziness, fever","oral rehydration salts, diclofenac 50mg bid, x-ray chest, blood sugar test"
"diarrhea, skin rash, burning urination","paracetamol 500mg tid, ondansetron 4mg tid, azithromycin 500mg od, x-ray chest"
"night sweats, burning urination, loss of taste","amoxicillin 500mg tid, ibuprofen 400mg bid, serum electrolytes, spirometry"
"difficulty breathing, frequent urination","atorvastatin 10mg od, iron supplements od, levocetirizine 5mg od, spirometry"
"itching, fever","atorvastatin 10mg od, oral rehydration salts, ondansetron 4mg tid, ecg test, liver function test"
"dizziness, frequent urination, sore throat, loss of smell","salbutamol inhaler prn, cetirizine 10mg od, liver function test, spirometry"
"eye redness, runny nose, shortness of breath, palpitations","amoxicillin 500mg tid, pantoprazole 40mg od, diclofenac 50mg bid, x-ray chest"
"loss of appetite, fatigue, diarrhea, dizziness","cetirizine 10mg od, pantoprazole 40mg od, stool test, throat swab culture"
"swelling, cough, chest pain, productive cough","pantoprazole 40mg od, atorvastatin 10mg od, multivitamin daily, dengue test, stool test"
"cough, vomiting, ear pain, night sweats","pantoprazole 40mg od, multivitamin daily, levocetirizine 5mg od, ecg test, blood sugar test"
"shortness of breath, difficulty breathing, muscle pain, joint pain","cetirizine 10mg od, ibuprofen 400mg bid, metronidazole 400mg tid, malaria parasite test, cbc blood test"
"shortness of breath, productive cough, difficulty breathing","paracetamol 500mg tid, metronidazole 400mg tid, pantoprazole 40mg od, stool test"
"fever, dizziness, burning urination, loss of taste","multivitamin daily, hydrocortisone cream bid, blood sugar test, throat swab culture"
"headache, ear pain, eye redness, muscle pain","loratadine 10mg od, pantoprazole 40mg od, serum electrolytes"
"loss of taste, burning urination, ear pain","paracetamol 500mg tid, metronidazole 400mg tid, azithromycin 500mg od, liver function test, urine analysis"
"runny nose, dizziness, abdominal pain, itching","salbutamol inhaler prn, hydrocortisone cream bid, oral rehydration salts, malaria parasite test"
"difficulty breathing, swelling, sore throat, joint pain","atorvastatin 10mg od, loratadine 10mg od, ecg test, malaria parasite test"
"muscle pain, loss of smell, abdominal pain, sore throat","iron supplements od, salbutamol inhaler prn, cetirizine 10mg od, blood sugar test, spirometry"
"difficulty breathing, palpitations, headache","loratadine 10mg od, metronidazole 400mg tid, hydrocortisone cream bid, kidney function test"
"back pain, body ache","amoxicillin 500mg tid, oral rehydration salts, dengue test"
"skin rash, loss of taste, night sweats, headache","metronidazole 400mg tid, cetirizine 10mg od, ibuprofen 400mg bid, dengue test"
"abdominal pain, chest pain, shortness of breath","hydrocortisone cream bid, azithromycin 500mg od, dengue test"
"headache, sore throat, body ache, frequent urination","paracetamol 500mg tid, oral rehydration salts, azithromycin 500mg od, serum electrolytes"
"joint pain, productive cough, cough, burning urination","cetirizine 10mg od, amoxicillin 500mg tid, levocetirizine 5mg od, malaria parasite test"
"loss of taste, frequent urination","hydrocortisone cream bid, azithromycin 500mg od, pantoprazole 40mg od, cbc blood test, kidney function test"
"productive cough, eye redness, vomiting","pantoprazole 40mg od, cetirizine 10mg od, blood sugar test, spirometry"
"skin rash, weight loss, body ache","loratadine 10mg od, hydrocortisone cream bid, levocetirizine 5mg od, stool test, throat swab culture"
"swelling, joint pain, muscle pain","doxycycline 100mg bid, loratadine 10mg od, hydrocortisone cream bid, malaria parasite test"
"fatigue, back pain, abdominal pain","azithromycin 500mg od, oral rehydration salts, hydrocortisone cream bid, dengue test, throat swab culture"
"loss of smell, night sweats","iron supplements od, diclofenac 50mg bid, x-ray chest, cbc blood test"
"sore throat, back pain, muscle pain","multivitamin daily, metronidazole 400mg tid, stool test, throat swab culture"
"diarrhea, ear pain, body ache, headache","diclofenac 50mg bid, oral rehydration salts, multivitamin daily, malaria parasite test, ecg test"
"skin rash, productive cough","azithromycin 500mg od, diclofenac 50mg bid, x-ray chest"
"back pain, eye redness, itching, loss of smell","oral rehydration salts, cetirizine 10mg od, urine analysis"
"diarrhea, fever, weight loss, productive cough","salbutamol inhaler prn, azithromycin 500mg od, pantoprazole 40mg od, throat swab culture"
"skin rash, difficulty breathing","hydrocortisone cream bid, iron supplements od, salbutamol inhaler prn, ecg test, throat swab culture"
"runny nose, fever, joint pain","salbutamol inhaler prn, amoxicillin 500mg tid, ondansetron 4mg tid, malaria parasite test"
"loss of taste, palpitations, productive cough, difficulty breathing","metronidazole 400mg tid, pantoprazole 40mg od, urine analysis"
"runny nose, frequent urination","multivitamin daily, ibuprofen 400mg bid, malaria parasite test"
"ear pain, shortness of breath, chest pain, eye redness","levocetirizine 5mg od, paracetamol 500mg tid, malaria parasite test, throat swab culture"
"fatigue, loss of smell","pantoprazole 40mg od, amoxicillin 500mg tid, stool test, liver function test"
"body ache, eye redness, headache","doxycycline 100mg bid, azithromycin 500mg od, kidney function test"
"burning urination, body ache, ear pain, loss of taste","metronidazole 400mg tid, diclofenac 50mg bid, stool test, dengue test"
"abdominal pain, sore throat, loss of smell, dizziness","ondansetron 4mg tid, salbutamol inhaler prn, ibuprofen 400mg bid, kidney function test, x-ray chest"
"palpitations, burning urination, productive cough","diclofenac 50mg bid, ondansetron 4mg tid, ibuprofen 400mg bid, dengue test"
"skin rash, headache, swelling","metronidazole 400mg tid, ibuprofen 400mg bid, pantoprazole 40mg od, kidney function test, dengue test"
"cough, productive cough","ibuprofen 400mg bid, amoxicillin 500mg tid, stool test"
"vomiting, ear pain","iron supplements od, loratadine 10mg od, cetirizine 10mg od, cbc blood test"
"muscle pain, shortness of breath","azithromycin 500mg od, amoxicillin 500mg tid, liver function test"
"burning urination, weight loss","ondansetron 4mg tid, ibuprofen 400mg bid, hydrocortisone cream bid, malaria parasite test, liver function test"
"difficulty breathing, shortness of breath","atorvastatin 10mg od, amoxicillin 500mg tid, ibuprofen 400mg bid, spirometry"
"loss of smell, burning urination","iron supplements od, atorvastatin 10mg od, throat swab culture"
"sneezing, skin rash","doxycycline 100mg bid, iron supplements od, kidney function test, x-ray chest"
"eye redness, loss of appetite, headache","metronidazole 400mg tid, iron supplements od, oral rehydration salts, x-ray chest, stool test"
"palpitations, loss of appetite","azithromycin 500mg od, cetirizine 10mg od, kidney function test"
"sneezing, cough","metronidazole 400mg tid, ondansetron 4mg tid, oral rehydration salts, blood sugar test, throat swab culture"
"vomiting, skin rash","ondansetron 4mg tid, iron supplements od, pantoprazole 40mg od, x-ray chest, urine analysis"
"body ache, fever","iron supplements od, salbutamol inhaler prn, amoxicillin 500mg tid, kidney function test, liver function test"
"loss of appetite, eye redness, headache","azithromycin 500mg od, cetirizine 10mg od, liver function test"
"loss of taste, chest pain, loss of smell, back pain","doxycycline 100mg bid, paracetamol 500mg tid, hydrocortisone cream bid, liver function test, stool test"
"chest pain, loss of smell, cough","ibuprofen 400mg bid, paracetamol 500mg tid, malaria parasite test, ecg test"
"muscle pain, night sweats","salbutamol inhaler prn, cetirizine 10mg od, ibuprofen 400mg bid, blood sugar test"
"swelling, cough","hydrocortisone cream bid, iron supplements od, multivitamin daily, kidney function test"
"body ache, night sweats","loratadine 10mg od, diclofenac 50mg bid, blood sugar test"
"weight loss, sore throat","pantoprazole 40mg od, paracetamol 500mg tid, loratadine 10mg od, urine analysis, cbc blood test"
"abdominal pain, loss of smell","loratadine 10mg od, salbutamol inhaler prn, oral rehydration salts, kidney function test, dengue test"
"vomiting, abdominal pain","doxycycline 100mg bid, oral rehydration salts, dengue test, throat swab culture"
"sneezing, itching, back pain","salbutamol inhaler prn, ibuprofen 400mg bid, spirometry"
"body ache, abdominal pain","salbutamol inhaler prn, paracetamol 500mg tid, throat swab culture"
"loss of taste, fever","pantoprazole 40mg od, doxycycline 100mg bid, stool test"
"cough, shortness of breath","pantoprazole 40mg od, atorvastatin 10mg od, dengue test, throat swab culture"
"weight loss, fever, frequent urination","hydrocortisone cream bid, iron supplements od, urine analysis"
"headache, fever, runny nose","levocetirizine 5mg od, pantoprazole 40mg od, metronidazole 400mg tid, urine analysis, cbc blood test"
"shortness of breath, body ache, fatigue, abdominal pain","iron supplements od, oral rehydration salts, stool test"
"dizziness, night sweats, body ache","cetirizine 10mg od, atorvastatin 10mg od, stool test"
"cough, itching, body ache","cetirizine 10mg od, azithromycin 500mg od, ecg test, cbc blood test"
"fever, runny nose","atorvastatin 10mg od, iron supplements od, throat swab culture, stool test"
"sore throat, cough, abdominal pain","hydrocortisone cream bid, azithromycin 500mg od, dengue test"
"runny nose, fever, sore throat, headache","paracetamol 500mg tid, oral rehydration salts, metronidazole 400mg tid, blood sugar test"
"chest pain, skin rash, loss of smell, abdominal pain","ondansetron 4mg tid, diclofenac 50mg bid, malaria parasite test"
"dizziness, productive cough","azithromycin 500mg od, atorvastatin 10mg od, kidney function test"
"back pain, muscle pain, fever, dizziness","diclofenac 50mg bid, hydrocortisone cream bid, ecg test, throat swab culture"
"difficulty breathing, body ache, fever","doxycycline 100mg bid, levocetirizine 5mg od, dengue test, serum electrolytes"
"dizziness, fever, loss of taste, loss of smell","azithromycin 500mg od, metronidazole 400mg tid, loratadine 10mg od, urine analysis, spirometry"
"burning urination, headache","cetirizine 10mg od, hydrocortisone cream bid, spirometry, urine analysis"
"body ache, eye redness","salbutamol inhaler prn, multivitamin daily, paracetamol 500mg tid, cbc blood test"
"loss of smell, productive cough","azithromycin 500mg od, ibuprofen 400mg bid, salbutamol inhaler prn, liver function test"
"productive cough, palpitations","metronidazole 400mg tid, hydrocortisone cream bid, atorvastatin 10mg od, liver function test"
"difficulty breathing, muscle pain","oral rehydration salts, hydrocortisone cream bid, ondansetron 4mg tid, urine analysis, serum electrolytes"
"loss of appetite, loss of smell","pantoprazole 40mg od, salbutamol inhaler prn, diclofenac 50mg bid, x-ray chest"
"eye redness, loss of taste","multivitamin daily, diclofenac 50mg bid, ibuprofen 400mg bid, liver function test, malaria parasite test"
"headache, sore throat","multivitamin daily, salbutamol inhaler prn, atorvastatin 10mg od, kidney function test"
"chest pain, skin rash, loss of smell","metronidazole 400mg tid, multivitamin daily, kidney function test"
"difficulty breathing, sore throat","hydrocortisone cream bid, paracetamol 500mg tid, multivitamin daily, serum electrolytes, stool test"
"shortness of breath, difficulty breathing","cetirizine 10mg od, loratadine 10mg od, paracetamol 500mg tid, throat swab culture"
"body ache, productive cough, skin rash, muscle pain","ibuprofen 400mg bid, salbutamol inhaler prn, loratadine 10mg od, x-ray chest, blood sugar test"
"vomiting, headache, back pain, frequent urination","multivitamin daily, doxycycline 100mg bid, malaria parasite test"
"fatigue, skin rash, vomiting, muscle pain","pantoprazole 40mg od, ibuprofen 400mg bid, azithromycin 500mg od, x-ray chest"
"loss of taste, loss of smell, fever, ear pain","paracetamol 500mg tid, ibuprofen 400mg bid, ecg test"
"night sweats, cough, chest pain, frequent urination","atorvastatin 10mg od, loratadine 10mg od, blood sugar test"
"diarrhea, skin rash","paracetamol 500mg tid, ondansetron 4mg tid, salbutamol inhaler prn, cbc blood test, x-ray chest"
"loss of appetite, vomiting, abdominal pain, weight loss","loratadine 10mg od, amoxicillin 500mg tid, atorvastatin 10mg od, dengue test"
"body ache, muscle pain, sore throat, productive cough","multivitamin daily, hydrocortisone cream bid, pantoprazole 40mg od, liver function test, dengue test"
"vomiting, back pain, productive cough, abdominal pain","amoxicillin 500mg tid, diclofenac 50mg bid, levocetirizine 5mg od, spirometry"
"swelling, frequent urination","ondansetron 4mg tid, iron supplements od, loratadine 10mg od, cbc blood test, throat swab culture"
"sore throat, back pain, diarrhea, muscle pain","metronidazole 400mg tid, diclofenac 50mg bid, malaria parasite test, ecg test"
"ear pain, night sweats","salbutamol inhaler prn, hydrocortisone cream bid, doxycycline 100mg bid, throat swab culture"
"difficulty breathing, ear pain, sore throat, swelling","multivitamin daily, paracetamol 500mg tid, spirometry"
"joint pain, palpitations, headache, loss of taste","pantoprazole 40mg od, levocetirizine 5mg od, x-ray chest"
"sneezing, loss of smell, eye redness, headache","diclofenac 50mg bid, ibuprofen 400mg bid, stool test, malaria parasite test"
"back pain, frequent urination","amoxicillin 500mg tid, doxycycline 100mg bid, urine analysis"
"sore throat, itching","azithromycin 500mg od, salbutamol inhaler prn, spirometry, kidney function test"
"back pain, vomiting, chest pain, dizziness","azithromycin 500mg od, levocetirizine 5mg od, ecg test"
"skin rash, joint pain, headache, cough","cetirizine 10mg od, hydrocortisone cream bid, x-ray chest, blood sugar test"
"difficulty breathing, cough","oral rehydration salts, atorvastatin 10mg od, urine analysis"
"vomiting, sneezing, sore throat, chest pain","doxycycline 100mg bid, salbutamol inhaler prn, spirometry"
"headache, back pain, dizziness, itching","levocetirizine 5mg od, paracetamol 500mg tid, cetirizine 10mg od, x-ray chest, malaria parasite test"
"vomiting, cough, loss of smell","pantoprazole 40mg od, paracetamol 500mg tid, serum electrolytes"
"runny nose, frequent urination, joint pain, sore throat","levocetirizine 5mg od, ibuprofen 400mg bid, doxycycline 100mg bid, dengue test, x-ray chest"
"itching, skin rash","ibuprofen 400mg bid, atorvastatin 10mg od, dengue test"
"productive cough, cough, eye redness","amoxicillin 500mg tid, ondansetron 4mg tid, levocetirizine 5mg od, x-ray chest"
"loss of taste, swelling, ear pain","paracetamol 500mg tid, iron supplements od, pantoprazole 40mg od, ecg test"
"sore throat, muscle pain, chest pain, palpitations","amoxicillin 500mg tid, iron supplements od, oral rehydration salts, blood sugar test, malaria parasite test"
"headache, fever, vomiting, abdominal pain","doxycycline 100mg bid, azithromycin 500mg od, urine analysis"
"difficulty breathing, back pain","multivitamin daily, metronidazole 400mg tid, cetirizine 10mg od, blood sugar test, cbc blood test"
"ear pain, productive cough","salbutamol inhaler prn, levocetirizine 5mg od, atorvastatin 10mg od, stool test"
"shortness of breath, joint pain, dizziness, sneezing","metronidazole 400mg tid, doxycycline 100mg bid, ecg test, malaria parasite test"
"joint pain, swelling","ondansetron 4mg tid, amoxicillin 500mg tid, dengue test"
"fatigue, cough, headache","cetirizine 10mg od, oral rehydration salts, paracetamol 500mg tid, cbc blood test, liver function test"
"skin rash, night sweats","doxycycline 100mg bid, ibuprofen 400mg bid, multivitamin daily, spirometry"
"palpitations, productive cough, shortness of breath, abdominal pain","iron supplements od, cetirizine 10mg od, atorvastatin 10mg od, blood sugar test"
"night sweats, loss of appetite, sneezing, burning urination","salbutamol inhaler prn, multivitamin daily, throat swab culture"
"headache, burning urination","doxycycline 100mg bid, hydrocortisone cream bid, iron supplements od, stool test, urine analysis"
"sore throat, night sweats","ondansetron 4mg tid, cetirizine 10mg od, oral rehydration salts, kidney function test"
"eye redness, vomiting, cough","paracetamol 500mg tid, cetirizine 10mg od, atorvastatin 10mg od, cbc blood test, malaria parasite test"
"ear pain, fever, productive cough","ondansetron 4mg tid, azithromycin 500mg od, metronidazole 400mg tid, cbc blood test"
"frequent urination, difficulty breathing, headache, back pain","amoxicillin 500mg tid, diclofenac 50mg bid, pantoprazole 40mg od, throat swab culture"
"sneezing, ear pain, joint pain","iron supplements od, salbutamol inhaler prn, cbc blood test, malaria parasite test"
"swelling, body ache, joint pain, fever","loratadine 10mg od, ibuprofen 400mg bid, iron supplements od, stool test"
"muscle pain, fatigue, shortness of breath","metronidazole 400mg tid, ibuprofen 400mg bid, doxycycline 100mg bid, urine analysis, kidney function test"
"night sweats, fever","levocetirizine 5mg od, amoxicillin 500mg tid, malaria parasite test, liver function test"
"joint pain, fatigue","cetirizine 10mg od, iron supplements od, amoxicillin 500mg tid, x-ray chest"
"shortness of breath, vomiting, palpitations","loratadine 10mg od, levocetirizine 5mg od, spirometry"
"cough, skin rash","ondansetron 4mg tid, diclofenac 50mg bid, oral rehydration salts, cbc blood test, dengue test"
"weight loss, diarrhea, sore throat, headache","ondansetron 4mg tid, metronidazole 400mg tid, levocetirizine 5mg od, kidney function test"
"loss of taste, headache","metronidazole 400mg tid, loratadine 10mg od, kidney function test"
"weight loss, eye redness, loss of smell, loss of taste","cetirizine 10mg od, azithromycin 500mg od, iron supplements od, dengue test"
"abdominal pain, difficulty breathing, cough, diarrhea","multivitamin daily, metronidazole 400mg tid, pantoprazole 40mg od, dengue test, serum electrolytes"
"abdominal pain, weight loss","levocetirizine 5mg od, salbutamol inhaler prn, atorvastatin 10mg od, dengue test, x-ray chest"
"back pain, ear pain, runny nose, productive cough","loratadine 10mg od, metronidazole 400mg tid, ondansetron 4mg tid, malaria parasite test"
"vomiting, difficulty breathing, dizziness","hydrocortisone cream bid, iron supplements od, ibuprofen 400mg bid, liver function test"
"sore throat, joint pain","iron supplements od, atorvastatin 10mg od, levocetirizine 5mg od, x-ray chest, dengue test"
"headache, loss of appetite, shortness of breath","doxycycline 100mg bid, iron supplements od, throat swab culture, kidney function test"
"abdominal pain, muscle pain","oral rehydration salts, amoxicillin 500mg tid, ondansetron 4mg tid, ecg test, kidney function test"
"back pain, diarrhea, dizziness, muscle pain","iron supplements od, atorvastatin 10mg od, oral rehydration salts, x-ray chest, throat swab culture"
"headache, cough","doxycycline 100mg bid, cetirizine 10mg od, multivitamin daily, blood sugar test"
"joint pain, frequent urination, shortness of breath","pantoprazole 40mg od, doxycycline 100mg bid, oral rehydration salts, x-ray chest"
"sore throat, night sweats, runny nose, headache","metronidazole 400mg tid, levocetirizine 5mg od, loratadine 10mg od, blood sugar test"
"cough, abdominal pain, productive cough, joint pain","amoxicillin 500mg tid, salbutamol inhaler prn, kidney function test, cbc blood test"
"palpitations, dizziness, night sweats, loss of taste","ibuprofen 400mg bid, atorvastatin 10mg od, levocetirizine 5mg od, liver function test, x-ray chest"
"abdominal pain, joint pain, shortness of breath, cough","iron supplements od, cetirizine 10mg od, doxycycline 100mg bid, spirometry"
"shortness of breath, swelling, vomiting, body ache","hydrocortisone cream bid, doxycycline 100mg bid, levocetirizine 5mg od, x-ray chest, blood sugar test"
"skin rash, dizziness, sore throat, eye redness","pantoprazole 40mg od, hydrocortisone cream bid, malaria parasite test"
"burning urination, shortness of breath","doxycycline 100mg bid, multivitamin daily, blood sugar test, ecg test"
"burning urination, productive cough","amoxicillin 500mg tid, atorvastatin 10mg od, malaria parasite test"
